School Code,School Year,District Code,District Name,County,School Name,TYPE,INDEX,2016 INDEX,TOTAL,Native,Asian,Black,PI,White,2+,Hispanic,NativePerc,AsianPerc,BlackPerc,PIPerc,WhitePerc,2+Perc,HispanicPerc
4263,2019-20,17001,Seattle School District #1,King,Residential Consortium,Other,78.4,69.7,25,5,0,6,0,7,3,4,20.0%,0.0%,24.0%,0.0%,28.0%,12.0%,16.0%
2948,2019-20,31063,Index Elementary School District 63,Snohomish,Index Elementary School,Elementary,11.9,0,32,1,0,0,0,30,0,1,3.1%,0.0%,0.0%,0.0%,93.8%,0.0%,3.1%
5374,2019-20,17410,Snoqualmie Valley School District,King,Snoqualmie Valley School District Open Doors,Other,22.4,#N/A,33,1,0,1,1,29,0,1,3.0%,0.0%,3.0%,3.0%,87.9%,0.0%,3.0%
1744,2019-20,31025,Marysville School District,Snohomish,School Home Partnership Program,Other,50.5,52.9,34,0,3,0,0,23,3,5,0.0%,8.8%,0.0%,0.0%,67.6%,8.8%,14.7%
1756,2019-20,17407,Riverview School District,King,CLIP,Other,43.6,46.8,38,1,2,0,0,28,3,4,2.6%,5.3%,0.0%,0.0%,73.7%,7.9%,10.5%
5070,2019-20,17403,Renton School District,King,Renton Academy,Other,73.5,70.2,39,0,0,13,0,11,7,8,0.0%,0.0%,33.3%,0.0%,28.2%,17.9%,20.5%
5577,2019-20,17411,Issaquah School District,King,Issaquah Preschool,Other,59,#N/A,41,0,14,1,0,22,2,2,0.0%,34.1%,2.4%,0.0%,53.7%,4.9%,4.9%
5498,2019-20,31006,Mukilteo School District,Snohomish,Mukilteo Reengagement Academy Open Doors,Other,64.2,#N/A,41,0,1,1,2,19,3,15,0.0%,2.4%,2.4%,4.9%,46.3%,7.3%,36.6%
1938,2019-20,17402,Vashon Island School District,King,Student Link,Other,29.5,#N/A,42,1,1,0,0,35,1,4,2.4%,2.4%,0.0%,0.0%,83.3%,2.4%,9.5%
5062,2019-20,17411,Issaquah School District,King,Issaquah ECEAP,Other,68.7,#N/A,42,0,3,7,0,18,1,13,0.0%,7.1%,16.7%,0.0%,42.9%,2.4%,31.0%
1950,2019-20,17210,Federal Way School District,King,Employment Transition Program,Other,77.1,70.3,42,3,4,5,2,17,6,5,7.1%,9.5%,11.9%,4.8%,40.5%,14.3%,11.9%
1670,2019-20,31311,Sultan School District,Snohomish,Student Services School,Other,29.4,#N/A,46,1,0,0,0,38,0,7,2.2%,0.0%,0.0%,0.0%,82.6%,0.0%,15.2%
5495,2019-20,31016,Arlington School District,Snohomish,Arlington Open Doors,Other,22.3,#N/A,48,0,0,0,1,42,0,5,0.0%,0.0%,0.0%,2.1%,87.5%,0.0%,10.4%
2512,2019-20,17404,Skykomish School District,King,Skykomish Elementary School,Elementary,43.6,26.1,49,3,0,0,0,36,5,5,6.1%,0.0%,0.0%,0.0%,73.5%,10.2%,10.2%
3778,2019-20,17001,Seattle School District #1,King,South Lake High School,High,73,66.7,51,0,7,20,2,4,3,15,0.0%,13.7%,39.2%,3.9%,7.8%,5.9%,29.4%
1523,2019-20,17216,Enumclaw School District,King,Special Ed School (Enumclaw),Other,29.6,32.4,53,1,0,0,0,44,2,6,1.9%,0.0%,0.0%,0.0%,83.0%,3.8%,11.3%
5563,2019-20,17409,Tahoma School District,King,Tahoma Open Doors,Other,43.1,#N/A,53,0,0,2,0,39,6,6,0.0%,0.0%,3.8%,0.0%,73.6%,11.3%,11.3%
3855,2019-20,17414,Lake Washington School District,King,Emerson High School,High,40.3,39.9,54,0,3,0,0,41,4,6,0.0%,5.6%,0.0%,0.0%,75.9%,7.4%,11.1%
5325,2019-20,17405,Bellevue School District,King,Career Education Options Reengagement Program,Other,73.1,#N/A,55,1,3,3,0,19,12,17,1.8%,5.5%,5.5%,0.0%,34.5%,21.8%,30.9%
3006,2019-20,17407,Riverview School District,King,Eagle Rock Multiage School,Elementary,32.3,10.8,60,0,2,0,0,49,4,4,0.0%,3.3%,0.0%,0.0%,81.7%,6.7%,6.7%
1822,2019-20,17402,Vashon Island School District,King,Family Link,Other,23.3,42.4,62,0,0,0,0,54,5,3,0.0%,0.0%,0.0%,0.0%,87.1%,8.1%,4.8%
5172,2019-20,17401,Highline School District,King,Puget Sound High School,High,37.1,74.8,64,1,1,1,3,8,0,50,1.6%,1.6%,1.6%,4.7%,12.5%,0.0%,78.1%
1688,2019-20,17414,Lake Washington School District,King,Emerson K-12,Elementary Middle High,31.6,36.9,65,0,0,0,0,53,8,4,0.0%,0.0%,0.0%,0.0%,81.5%,12.3%,6.2%
1806,2019-20,31103,Monroe School District,Snohomish,Leaders In Learning,Other,49,53.2,66,2,0,0,0,45,5,13,3.0%,0.0%,0.0%,0.0%,68.2%,7.6%,19.7%
5335,2019-20,17403,Renton School District,King,Open Door Youth Reengagement (Renton),Other,70.3,76.5,67,0,6,14,1,14,2,30,0.0%,9.0%,20.9%,1.5%,20.9%,3.0%,44.8%
2277,2019-20,31016,Arlington School District,Snohomish,Arlington Special Education School,Other,35.5,37.5,68,0,2,0,3,54,2,7,0.0%,2.9%,0.0%,4.4%,79.4%,2.9%,10.3%
5349,2019-20,31332,Granite Falls School District,Snohomish,Granite Falls Open Doors,Other,30.8,45.7,69,2,0,2,1,57,1,6,2.9%,0.0%,2.9%,1.4%,82.6%,1.4%,8.7%
